"...1","date","mixToday","mixN2N","mixPM","mixTomorrow","twindToday","twindN2N","twindPM","twindTomorrow","swindToday","swindN2N","swindPM","swindTomorrow","precipToday","precipN2N","precipPM","precipTomorrow","tminToday","tminN2N","tminPM","tminTomorrow","tmaxToday","tmaxN2N","tmaxPM","tmaxTomorrow","ventToday","ventN2N","ventPM","created","ventTomorrow","yN2NPM","HR24PM","HR24OZ","HR24OZ_carus","HR24PMno","HR24no","humToday","humN2N","humPM","humTomorrow","cloudToday","cloudN2N","cloudPM","cloudTomorrow","peakoz8hr_carus","no2max_24"
294,2026-05-14,744.480626086957,707.9107,535.0764,744.7026,24.1686,21.41375,19.446,13.89,18.7257777777778,17.7483333333333,16.668,12.038,28.8,6,1,1.85714285714286,14.6111111111111,14.1269841269841,15,14.4166666666667,14.6111111111111,14.1269841269841,15,14.4166666666667,17993,15159,10405,2026-05-14,10344,4.2,5,40.2,NA,NA,NA,71.6,71.9523809523809,67.4,67.4285714285714,66.0869565217391,53.8421052631579,37,54.6363636363636,NA,-Inf
290,2026-05-13,744.480626086957,707.9107,535.0764,744.7026,24.1686,21.41375,19.446,13.89,18.7257777777778,17.7483333333333,16.668,12.038,28.8,6,1,1.85714285714286,14.6111111111111,14.1269841269841,15,14.4166666666667,14.6111111111111,14.1269841269841,15,14.4166666666667,17993,15159,10405,2026-05-13,10344,4.7,4,25.7,NA,NA,NA,71.6,71.9523809523809,67.4,67.4285714285714,66.0869565217391,53.8421052631579,37,54.6363636363636,NA,-Inf
289,2026-05-12,534.8859,663.6258,566.8264,625.6655,12.6790769230769,17.1618666666667,13.7048,20.5263333333333,10.9797142857143,14.6735384615385,13.3344,17.1971428571429,11.5,46.9444444444444,22.2,44.4210526315789,19.9494949494949,18.8624338624339,21.4814814814815,14.8677248677249,19.9494949494949,18.8624338624339,21.4814814814815,14.8677248677249,6782,11389,7768,2026-05-12,12843,2.9,3.3,36.6,NA,NA,NA,54.0434782608696,64.4347826086957,52.8,73.1739130434783,50.8571428571429,69.1111111111111,79.1666666666667,77.7,NA,-Inf
288,2026-05-11,507.200452173913,472.3892,305.7144,436.3212,12.6553333333333,14.1215,13.5813333333333,12.2695,9.50693333333333,11.112,9.26,11.8528,0,NA,NA,18,18.8131313131313,20.4545454545455,22.6851851851852,21.1111111111111,18.8131313131313,20.4545454545455,22.6851851851852,21.1111111111111,6419,6671,4152,2026-05-11,5353,NA,2.7,39.7,NA,NA,NA,58.7727272727273,51.0869565217391,45.3333333333333,51.3478260869565,20.0909090909091,24.3333333333333,19.1666666666667,39.6363636363636,NA,-Inf
287,2026-05-09,435.8005,484.685008695652,277.5712,730.658608695652,8.797,9.26,10.186,11.9667692307692,6.58488888888889,5.82057142857143,5.556,7.93714285714286,0,NA,NA,NA,17.5,18.4391534391534,21.7592592592593,16.984126984127,17.5,18.4391534391534,21.7592592592593,16.984126984127,3834,4488,2827,2026-05-09,8744,5.6,5.9,35.8,NA,NA,NA,61.6086956521739,59.5909090909091,50.6666666666667,64.1363636363636,36.1363636363636,49.7894736842105,50.5,50.1666666666667,NA,-Inf
286,2026-05-08,678.259513043478,592.5058,450.85,430.4665,11.5393846153846,10.9436363636364,11.112,10.186,8.17966666666667,8.334,7.408,5.86466666666667,0,NA,NA,NA,15.9444444444444,15.7323232323232,18.6111111111111,17.7777777777778,15.9444444444444,15.7323232323232,18.6111111111111,17.7777777777778,7827,6484,5010,2026-05-08,4385,4.3,4.9,38.2,NA,NA,NA,61.6,65.3181818181818,57.1666666666667,62.0434782608696,49.0909090909091,28.8947368421053,43.6666666666667,31.5,NA,-Inf
285,2026-05-07,564.582365217391,479.1456,341.7316,654.7993,8.20171428571429,9.4915,8.334,11.8065,5.24733333333333,7.408,2.778,10.186,0.5,NA,NA,NA,16.031746031746,16.8888888888889,19.537037037037,16.7222222222222,16.031746031746,16.8888888888889,19.537037037037,16.7222222222222,4631,4548,2848,2026-05-07,7731,NA,3.2,33,NA,NA,NA,61.3333333333333,57.3636363636364,50.8333333333333,60.3333333333333,45.8695652173913,41.5,47.3333333333333,46.5,NA,-Inf
284,2026-05-06,639.695686956522,666.7754,556.6664,599.5035,10.1018181818182,11.2972,14.353,8.7044,7.26553846153846,8.41818181818182,11.112,5.1856,0.333333333333333,0.5,0.5,NA,18.5277777777778,17.1969696969697,20.5555555555556,16.540404040404,18.5277777777778,17.1969696969697,20.5555555555556,16.540404040404,6462,7533,7990,2026-05-06,5218,4.3,4.9,21.4,NA,NA,NA,64.4,64.7391304347826,55.8333333333333,60.4166666666667,67.3478260869565,62.25,75.8333333333333,49.5833333333333,NA,-Inf
283,2026-05-05,657.730690909091,590.674690909091,520.5222,576.7578,8.02533333333333,6.79066666666667,8.334,7.26553846153846,5.24733333333333,4.93866666666667,4.63,5.9264,1,0.8,0.333333333333333,NA,18.3040935672515,18.6243386243386,21.4814814814815,18.989898989899,18.3040935672515,18.6243386243386,21.4814814814815,18.989898989899,5279,4011,4338,2026-05-05,4190,5.9,5.6,27,NA,NA,NA,69.625,66.5454545454545,60,64.7272727272727,29.2777777777778,18.1111111111111,12.5,28.6363636363636,NA,-Inf
282,2026-05-04,582.141495652174,607.1743,428.0408,572.5541,14.353,10.9797142857143,13.89,8.92327272727273,9.11753846153846,8.334,8.334,5.556,1,1,1.33333333333333,0.666666666666667,19.2028985507246,18.3333333333333,21.7592592592593,18.0434782608696,19.2028985507246,18.3333333333333,21.7592592592593,18.0434782608696,8355,6667,5945,2026-05-04,5109,13.7,10.5,30.7,NA,NA,NA,66.1428571428571,69.5454545454545,60.3333333333333,68.6521739130435,20.9565217391304,29.4,38.5,23.9090909090909,NA,-Inf
